AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountStatus,CommitmentDiscountType,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,Tags,x_CostCategories,x_Discounts,x_Operation,x_ServiceCode,x_UsageType
,0,973638948628,tfnsw-anycloud-mpa02-prod,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.00 per GB - Asia Pacific (Sydney) data transfer from Asia Pacific (Tokyo),Usage-Based,2025-03-07 01:00:00+00:00,2025-03-07 00:00:00+00:00,,,,,,0.0000438336,GB,0,0,0,Amazon Web Services Australia Pty Ltd,0,0,Standard,0.0000438336,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),aws-cloudtrail-logs-487211388025-60a92568,,bucket,Storage,Amazon Simple Storage Service,34VZU5SSVRBB9VYG,34VZU5SSVRBB9VYG.JRTCKXETXF.6YS6EN2CT7,487211388025,tfnsw-corporateit-equipppd-nonprod,"[('ccoe:default:app-ci', 'tfnsw-corporateit-equipppd-nonprod'), ('map-migrated', 'sap45200'), ('ccoe:org:cost-code', '1000182124')]",[],"[('total_discount', 0.0), ('bundled_discount', 0.0), ('edp_discount', None)]",PutObject,AmazonS3,APS2-APN1-AWS-In-Bytes
,0.0018440351,973638948628,tfnsw-anycloud-mpa02-prod,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.055 per GB-Month of snapshot data stored - Asia Pacific (Sydney),Usage-Based,2025-03-05 00:00:00+00:00,2025-03-04 23:00:00+00:00,,,,,,0.042984501,GB-Months,0.0018440351,0.042900000165,0.0018440351,Amazon Web Services Australia Pty Ltd,0.0023641476,0.055,Standard,0.042984501,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),arn:aws:ec2:ap-southeast-2:296389249740:snapshot/snap-0b6a0f2e341639f13,,,Storage,Amazon Elastic Compute Cloud,759N2ESGG4Z2C95V,759N2ESGG4Z2C95V.JRTCKXETXF.6YS6EN2CT7,296389249740,tfnsw-aai-dataplatform-nonprod,"[('ccoe:default:app-ci', 'tfnsw-aai-dataplatform-nonprod'), ('ccoe:org:cost-code', '0000131039')]",[],"[('total_discount', -0.0005201125), ('bundled_discount', 0.0), ('edp_discount', -0.0005201125)]",CreateSnapshot,AmazonEC2,APS2-EBS:SnapshotUsage
ap-southeast-2a,0,973638948628,tfnsw-anycloud-mpa02-prod,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.848 per On Demand Windows m6i.2xlarge Instance Hour,Usage-Based,2025-03-02 21:00:00+00:00,2025-03-02 20:00:00+00:00,Spend,arn:aws:savingsplans::973638948628:savingsplan/97570544-46d8-4ff6-960f-b9849f32be62,,Used,Savings Plan,1,Hours,0.6614399997,0.661439999726,0.4830617998,Amazon Web Services Australia Pty Ltd,0.848,0.848,Committed,1,Hours,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),i-0e1cc9423f9715fb8,,instance,Compute,Amazon Elastic Compute Cloud,8NE4S2G3APH2GEKE,8NE4S2G3APH2GEKE.JRTCKXETXF.6YS6EN2CT7,654654188513,tfnsw-corpit-equipprojdev-nonprod,"[('Name', 'awspdwapotx06'), ('ccoe:default:app-ci', 'tfnsw-corpit-equipprojdev-nonprod'), ('ccoe:org:cost-code', '1000182124')]",[],"[('total_discount', 0.0), ('bundled_discount', 0.0), ('edp_discount', None)]",RunInstances:0002,AmazonEC2,APS2-BoxUsage:m6i.2xlarge
,0.0000000719,973638948628,tfnsw-anycloud-mpa02-prod,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.094 per GB - next 100 TB / month data transfer out,Usage-Based,2025-03-12 01:00:00+00:00,2025-03-12 00:00:00+00:00,,,,,,0.0000009807,GB,0.0000000719,0.073314979097,0.0000000719,Amazon Web Services Australia Pty Ltd,0.0000000922,0.094,Standard,0.0000009807,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),arn:aws:sns:ap-southeast-2:431052969011:dev-intune-domo-ingestion,,,Integration,Amazon Simple Notification Service,KRXM4TG87VW2NPHA,KRXM4TG87VW2NPHA.JRTCKXETXF.N9EW5UVVPA,431052969011,st-spi-alexatrains-nonprod,"[('ccoe:default:app-ci', 'st-spi-alexatrains-nonprod'), ('ccoe:default:sub-env', 'Dev'), ('ccoe:org:cost-code', '0000401247')]",[],"[('total_discount', -2.03e-08), ('bundled_discount', 0.0), ('edp_discount', -2.03e-08)]",Notification,AmazonSNS,APS2-DataTransfer-Out-Bytes
,0,973638948628,tfnsw-anycloud-mpa02-prod,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.000 per GB - data transfer in per month,Usage-Based,2025-03-14 00:00:00+00:00,2025-03-13 23:00:00+00:00,,,,,,0.0000018775,GB,0,0,0,Amazon Web Services Australia Pty Ltd,0,0,Standard,0.0000018775,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,External,arn:aws:ec2:ap-southeast-2:028610464167:natgateway/nat-0f694133b04094cd3,,,Compute,Amazon Elastic Compute Cloud,V97WX8KBR4YWXNJZ,V97WX8KBR4YWXNJZ.JRTCKXETXF.6YS6EN2CT7,28610464167,tfnsw-anycloud-ccr-prod,"[('Name', '028610464167-NATGW-AZC'), ('ccoe:default:app-ci', 'AnyCloud')]",[],"[('total_discount', 0.0), ('bundled_discount', 0.0), ('edp_discount', None)]",RunInstances,AmazonEC2,APS2-DataTransfer-In-Bytes
,0.00000234,973638948628,tfnsw-anycloud-mpa02-prod,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.03 per 10000 KMS requests in US East (N. Virginia),Usage-Based,2025-03-14 22:00:00+00:00,2025-03-14 21:00:00+00:00,,,,,,1,Requests,0.00000234,0.00000234,0.00000234,Amazon Web Services Australia Pty Ltd,0.000003,0.000003,Standard,1,Requests,AWS,Amazon Web Services Australia Pty Ltd,us-east-1,US East (N. Virginia),arn:aws:kms:us-east-1:789177034570:key/30a07c47-e363-40a1-bb9e-0ad2b39a5e19,,,Identity,AWS Key Management Service,MFEBZPX8NHM5FY7Z,MFEBZPX8NHM5FY7Z.JRTCKXETXF.6YS6EN2CT7,789177034570,tfnsw-aai-dataplatform-prod,[],[],"[('total_discount', -6.6e-07), ('bundled_discount', 0.0), ('edp_discount', -6.6e-07)]",ListGrants,awskms,us-east-1-KMS-Requests
,0.000002496,973638948628,tfnsw-anycloud-mpa02-prod,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,"$0.40 per 1,000,000 queries for the first 1 Billion queries",Usage-Based,2025-03-03 09:00:00+00:00,2025-03-03 08:00:00+00:00,,,,,,8,Queries,0.000002496,0.000000312,0.000002496,Amazon Web Services Australia Pty Ltd,0.0000032,0.0000004,Standard,8,Queries,AWS,Amazon Web Services Australia Pty Ltd,global,,arn:aws:route53:::hostedzone/Z005749434VYJXJ2PY00O,,,Networking,Amazon Route 53,JHRA6QBEDT9FZVT5,JHRA6QBEDT9FZVT5.JRTCKXETXF.ZN357FEBCK,54673672743,tfnsw-os-ptips02-prod,[],[],"[('total_discount', -7.04e-07), ('bundled_discount', 0.0), ('edp_discount', -7.04e-07)]",NS,AmazonRoute53,DNS-Queries
,0.0000003432,973638948628,tfnsw-anycloud-mpa02-prod,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,"$0.0044 per 10,000 GET and all other requests",Usage-Based,2025-03-16 07:00:00+00:00,2025-03-16 06:00:00+00:00,,,,,,1,Requests,0.0000003432,0.0000003432,0.0000003432,Amazon Web Services Australia Pty Ltd,0.00000044,0.00000044,Standard,1,Requests,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),equip-s3-mgmt-sap-refresh-sensitivedata-sync,,bucket,Storage,Amazon Simple Storage Service,ZE67FX933AEQ43H2,ZE67FX933AEQ43H2.JRTCKXETXF.6YS6EN2CT7,129185906607,tfnsw-corporateit-equipmgmt-prod,"[('ccoe:default:app-ci', 'tfnsw-corporateit-equipmgmt-prod'), ('ccoe:org:cost-code', '1000182124')]",[],"[('total_discount', -9.68e-08), ('bundled_discount', 0.0), ('edp_discount', -9.68e-08)]",ReadCostAllocation,AmazonS3,APS2-Requests-Tier2
,0.0005172897,973638948628,tfnsw-anycloud-mpa02-prod,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,Usage-Based,2025-03-06 01:00:00+00:00,2025-03-06 00:00:00+00:00,,,,,,0.066319189,GB,0.0005172897,0.007800000389,0.0005172897,Amazon Web Services Australia Pty Ltd,0.0006631919,0.01,Standard,0.066319189,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),arn:aws:elasticloadbalancing:ap-southeast-2:780590342692:loadbalancer/net/nlb-ptips-uat-gtfs-internet/f5ade336b592e565,,,Networking,Elastic Load Balancing,5D2MW78KPJPRV7WA,5D2MW78KPJPRV7WA.JRTCKXETXF.6YS6EN2CT7,780590342692,tfnsw-os-ptips02-nonprod,"[('Name', 'ptipsuatgtfsproviderinternetnlb')]",[],"[('total_discount', -0.0001459022), ('bundled_discount', 0.0), ('edp_discount', -0.0001459022)]",LoadBalancing-NLB-PublicIP-Out,AWSELB,APS2-DataTransfer-Regional-Bytes
,0.0000000189,973638948628,tfnsw-anycloud-mpa02-prod,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.094 per GB - next 100 TB / month data transfer out,Usage-Based,2025-03-14 10:00:00+00:00,2025-03-14 09:00:00+00:00,,,,,,0.000000258,GB,0.0000000189,0.073255813953,0.0000000189,Amazon Web Services Australia Pty Ltd,0.0000000243,0.094,Standard,0.000000258,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),890437056279-3rd-party-lambdas,,bucket,Storage,Amazon Simple Storage Service,KRXM4TG87VW2NPHA,KRXM4TG87VW2NPHA.JRTCKXETXF.N9EW5UVVPA,890437056279,tfnsw-cits-biaas-nonprod,"[('ccoe:default:app-ci', 'tfnsw-cits-biaas-nonprod'), ('ccoe:org:cost-code', '1000141023')]",[],"[('total_discount', -5.3e-09), ('bundled_discount', 0.0), ('edp_discount', -5.3e-09)]",ReadBucketPolicy,AmazonS3,APS2-DataTransfer-Out-Bytes
