SERVICENAME,TotalCost
API Management,1970-01-01 00:00:00.000000002
App Configuration,1970-01-01 00:00:00.000000000
Application Gateway,1970-01-01 00:00:00.000000030
Azure AI Search,1970-01-01 00:00:00.000000000
Azure AI Services,1970-01-01 00:00:00.000000000
Azure Analysis Services,1970-01-01 00:00:00.000000026
Azure App Service,1970-01-01 00:00:00.000000189
Azure Arc,1970-01-01 00:00:00.000000012
Azure Automation,1970-01-01 00:00:00.000000000
Azure Bastion,1970-01-01 00:00:00.000000026
Azure Communication Services,1970-01-01 00:00:00.000000000
Azure Container Registry,1970-01-01 00:00:00.000000007
Azure DB for MySQL,1970-01-01 00:00:00.000000009
Azure DB for PostgreSQL,1970-01-01 00:00:00.000000000
Azure DNS,1970-01-01 00:00:00.000000000
Azure Data Explorer,1970-01-01 00:00:00.000000000
Azure Data Factory,1970-01-01 00:00:00.000000075
Azure Databricks,1970-01-01 00:00:00.000000143
Azure DevOps,1970-01-01 00:00:00.000000032
Azure ExpressRoute,1970-01-01 00:00:00.000000288
Azure Firewall,1970-01-01 00:00:00.000000001
Azure IoT Hub,1970-01-01 00:00:00.000000005
Azure Kubernetes Service,1970-01-01 00:00:00.000000001
Azure Machine Learning,1970-01-01 00:00:00.000000002
Azure Managed Grafana,1970-01-01 00:00:00.000000003
Azure Marketplace,1970-01-01 00:00:00.000000001
Azure Monitor,1970-01-01 00:00:00.000001161
Azure NAT Gateway,1970-01-01 00:00:00.000000007
Azure Private Link,1970-01-01 00:00:00.000000047
Azure SQL Database,1970-01-01 00:00:00.000000252
Azure Site Recovery,1970-01-01 00:00:00.000000077
Azure Synapse Analytics,1970-01-01 00:00:00.000000002
Batch,1970-01-01 00:00:00.000000002
Cosmos DB,1970-01-01 00:00:00.000000015
Event Grid,1970-01-01 00:00:00.000000000
Event Hubs,1970-01-01 00:00:00.000000098
Key Vault,1970-01-01 00:00:00.000000001
Load Balancer,1970-01-01 00:00:00.000000002
Logic Apps,1970-01-01 00:00:00.000000050
Microsoft Defender for Cloud,1970-01-01 00:00:00.000000002
Network Watcher,1970-01-01 00:00:00.000000000
Service Bus,1970-01-01 00:00:00.000000028
Storage Accounts,1970-01-01 00:00:00.000000292
Virtual Machine Scale Sets,1970-01-01 00:00:00.000000001
Virtual Machines,1970-01-01 00:00:00.000000360
Virtual Network,1970-01-01 00:00:00.000000006
